SOC,N,SAND,SILT,CLAY,PH,CF
Austria,28.2999992370605,2.5,0.315,0.452272727272727,0.202020202020202,6.2,13
Belgium,23.1500005722046,2.1,0.15,0.65,0.18,6.7,9.5
Bulgaria,14.8000001907349,1.31,0.22,0.36,0.24,6.65,0
Croatia,16.5,1.6,0.02,0.65,0.34,6.4,9
Cyprus,16.7000007629395,1,0.333333333333333,0.376237623762376,0.26,8.2,23
Czech Republic,18.6000003814697,1.7,0.303030303030303,0.46,0.19,6.1,13
Denmark,19,1.7,0.685,0.223861386138614,0.08,6.1,7
Estonia,29.6500005722046,2.3,0.54,0.31,0.119405940594059,6.3,8
Finland,47.25,2.4,0.623762376237624,0.31,0.0505050505050505,4.7,10
France,19.8999996185303,1.9,0.23,0.475247524752475,0.21,6.8,11
Germany,20.5,1.8,0.407970297029703,0.383838383838384,0.158415841584158,6.2,7
Greece,13.6000003814697,1.3,0.38,0.36,0.22,7.8,17
Hungary,18,1.8,0.15,0.49,0.24,7.3,6
Iceland,80.6999969482422,0.675,0.315,0.56,0.11,6.1,1
Ireland,56.9000015258789,4.9,0.393939393939394,0.39,0.2,5.9,17
Italy,15.3000001907349,1.5,0.24,0.43,0.28,7.7,12
Latvia,21.6000003814697,1.8,0.577878787878788,0.297029702970297,0.11,6.2,7
Lithuania,18.2999992370605,1.7,0.53,0.314981498149815,0.130656565656565,6.9,6
Luxembourg,27,2.8,0.29,0.48,0.2,5.4,25
Malta,12,2,0.32,0.41,0.27,8.2,7
Moldova,19.1000003814697,2.13,0.04,0.29,0.67,6.9,49
Netherlands,21.75,1.8,0.648282828282829,0.225,0.125,6.5,4
Northern Cyprus,6.90000009536743,1,0.343434343434343,0.404040404040404,0.252525252525253,8.7,26
Norway,52.4000015258789,1.7,0.57,0.37,0.06,4.7,26
Poland,12.5,1.2,0.722772277227723,0.2,0.06,5.6,6
Portugal,16.5,1.4,0.555555555555556,0.303030303030303,0.11,5.7,22
Republic of Serbia,19.7999992370605,1.6,0.0505050505050505,0.676767676767677,0.272727272727273,7.8,8
Romania,17.5,1.725,0.19,0.28,0.44,6.4,18
Slovakia,20.6500005722046,2,0.16,0.54,0.24,6.5,7
Slovenia,39.25,3.2,0.17,0.48,0.26,6,14
Spain,11.8000001907349,1.2,0.37,0.381919191919192,0.227722772277228,7.8,14
Sweden,48.7999992370605,2.3,0.57,0.34,0.07,4.6,12
United Kingdom,35.4000015258789,3.1,0.39,0.36,0.22,6.2,12
